order_id,customer_id,order_date,order_channel,payment_method,order_status,discount_rate,shipping_cost_inr,product_id,quantity,unit_price_inr,gross_sales_inr,discount_inr,net_sales_inr,gross_profit_inr,marketing_cost_inr,contribution_profit_inr,is_returned
5000001,103491,2025-10-15 15:08:53,Online,UPI,Delivered,0.105,105,2138,1,1373.0,1373.0,144.165,1228.835,336.70079000000004,90.06234915776169,141.63844084223837,0
5000002,103327,2025-08-10 01:17:55,Store,UPI,Delivered,0.032,116,2112,2,1166.0,2332.0,74.624,2257.376,1058.709344,37.514657053234565,905.1946869467655,0
5000003,102177,2025-08-21 21:15:55,Online,Card,Delivered,0.067,117,2085,2,1048.0,2096.0,140.43200000000002,1955.568,715.737888,118.03059762957385,480.70729037042616,0
5000004,113038,2025-06-09 05:54:47,Online,UPI,Delivered,0.044,58,2108,1,1703.0,1703.0,74.932,1628.068,867.7602440000001,119.7062492784264,690.0539947215736,0
5000005,127881,2024-10-31 15:02:07,Online,Card,Delivered,0.067,69,2203,1,989.0,989.0,66.263,922.737,223.30235399999998,30.108430347882948,124.19392365211704,0
5000006,111436,2024-01-18 08:44:05,Online,Card,Delivered,0.196,138,2200,2,295.0,590.0,115.64,474.36,277.50059999999996,98.2509692001314,41.24963079986857,0
5000007,116353,2024-10-11 04:34:15,Store,Card,Delivered,0.038,160,2206,1,3174.0,3174.0,120.612,3053.388,668.691972,23.506092929230903,485.18587907076903,0
5000008,117312,2025-06-16 12:46:45,Online,UPI,Delivered,0.017,77,2171,1,3823.0,3823.0,64.991,3758.009,1751.2321940000002,24.41779628290857,1649.8143977170917,0
5000009,105740,2025-08-04 09:05:01,Online,UPI,Delivered,0.035,163,2167,1,2778.0,2778.0,97.23,2680.77,1026.73491,50.93140424376413,812.8035057562357,0
5000010,112234,2024-09-01 21:27:51,Online,Card,Delivered,0.04,134,2174,3,382.0,1146.0,45.84,1100.16,624.89088,99.99362612982146,390.8972538701786,0
5000011,107762,2025-11-07 10:50:50,Online,Card,Cancelled,0.087,91,2060,1,4846.0,0.0,0.0,0.0,0.0,121.00791069555011,0.0,0
5000012,115713,2024-12-04 20:17:52,Online,Card,Delivered,0.08,151,2019,1,1728.0,1728.0,138.24,1589.76,300.46464,113.96216897812228,35.502471021877696,0
5000013,114906,2024-03-21 22:01:10,Online,Wallet,Delivered,0.198,163,2072,1,942.0,942.0,186.51600000000002,755.4839999999999,362.63231999999994,128.1304105319772,71.50190946802275,0
