year_month,revenue,orders,customers,contribution_profit,returns,aov,contribution_margin_pct,return_rate_pct
2024-01,15429706.558,5108,4706,5338000.721608659,343,3020.6943144087704,34.595607515562314,6.714956930305403
2024-02,13879577.163,4765,4376,4728884.012522443,310,2912.8178726128017,34.07080746759809,6.505771248688353
2024-03,15460916.608,5199,4775,5227608.040087915,359,2973.825083285247,33.81176014740921,6.905174071936911
2024-04,14791663.986,5017,4634,5053080.911395304,326,2948.3085481363364,34.16167995823823,6.4979071158062585
2024-05,15438932.377,5212,4762,5240759.810369823,339,2962.1896348810437,33.945092072410354,6.504221028396009
2024-06,15103901.059,5058,4680,5142816.004758845,314,2986.140976472914,34.049587485177426,6.207987346777382
2024-07,15111066.823,5100,4684,5162867.39695402,333,2962.954279019608,34.16613437971043,6.529411764705882
2024-08,15404287.259,5221,4791,5225605.357441225,323,2950.4476650067036,33.92305836408075,6.186554299942539
2024-09,14825828.758,5005,4583,5064715.55965785,344,2962.203548051948,34.161433012133884,6.873126873126873
2024-10,15478100.606,5243,4775,5188911.34064831,364,2952.145833683006,33.524212516339745,6.942590120160213
2024-11,14643651.378,4945,4554,5025864.522131225,308,2961.3046264914055,34.3211156315963,6.228513650151668
2024-12,15238330.638,5157,4756,5163191.879036921,360,2954.88280744619,33.88292327875739,6.980802792321117
2025-01,15643611.838,5210,4795,5369748.535831418,315,3002.6126368522073,34.32550354380263,6.046065259117083
2025-02,13757213.94,4659,4307,4720001.590330229,308,2952.825486155827,34.309283921263415,6.61086069972097
2025-03,15246430.404,5225,4787,5134992.041697675,356,2917.977110813397,33.679962493715756,6.813397129186603
2025-04,14695722.266,5123,4690,4939322.970987424,341,2868.5774479796996,33.61061730470393,6.656256099941441
2025-05,15198942.344,5179,4736,5180517.0294426875,325,2934.7253029542385,34.08472058246718,6.275342730256806
2025-06,14615596.316,4886,4495,4924458.953844074,335,2991.321390912812,33.693178488059125,6.856324191567745
2025-07,14781830.139,5101,4685,4993911.669541764,363,2897.8298645363657,33.784122957589375,7.116251715349931
2025-08,15466119.704,5247,4826,5291758.116289854,340,2947.611912330856,34.215163321936835,6.479893272346103
2025-09,15386146.254,5176,4757,5235152.670842331,335,2972.593943972179,34.02510664086094,6.4721792890262755
2025-10,14628564.847,4999,4604,4974658.850862893,329,2926.298229045809,34.00647228824424,6.581316263252651
2025-11,15051392.938,5026,4627,5127660.840041917,347,2994.706115797851,34.067683045442244,6.904098686828492
2025-12,14797538.69,5053,4667,5068142.061187366,363,2928.465998416782,34.24989903633336,7.183851177518306
